交易间隔,资产平均值
10,3147.600702285601
20,5832.333480903317
30,5380.64418998626
40,6565.914331142677
50,6916.466856612514
60,7964.3703582703
70,17621.773397257777
80,7858.81980318907
90,10723.970099467286
100,6356.610185955574
