0,1,2,3,4,5,6,7,8,9
38829.14499384648,210051.5584563699,258809.36380705782,233920.9770149915,233920.97703406223,233920.97689810884,233920.97726606345,233920.97683865254,233920.97670525775,233920.97665135318
2233.197396622099,6545.308551981186,5663.531542238919,5663.531543421763,5663.531544115506,5663.531543543961,5663.531544262811,5663.531543632551,5663.531543152139,5663.5315431070385
20509.31554958152,16138.257394131528,17644.174940573346,15638.596267358767,15638.59626714114,15638.59626748242,15638.596267377261,15638.596267416593,15638.596267464955,15638.596267664972
29652.57356350739,26881.80130538668,29390.236712149555,26049.50629290238,26049.50629756574,26049.506297087853,26049.506298246328,26049.506302678106,26049.50629509563,26049.506295756666
4671.280297954342,11396.75214127895,11396.752137805728,11396.752141627896,11396.752141649024,11396.752141624567,11396.752141626106,11396.752141612706,11396.75214162584,11396.752141691088
10965.969278571598,13519.218670195965,13818.020857181595,13818.020856696008,13818.020856692196,13818.020856686899,13818.020856692996,13818.020856697556,13818.020856692783,13818.020856693756
12934.127387011767,28546.849733687544,29177.793085009067,29177.79308496593,29177.793085011024,29177.793084968223,29177.793084967598,29177.793084965142,29177.79308496522,29177.793084968056
17239.536541917725,140360.26432359664,143462.51116101886,143462.51116310162,143462.5111645114,143462.51116551127,143462.5111662452,143462.51116679978,143462.51116722845,143462.51116756574
16559.81159196576,39941.37114872527,40824.15656187203,40824.1565622668,40824.15656249347,40824.15656766525,40824.15656766522,40824.15656766521,40824.15656766526,40824.15656766528
6701.897909496551,15978.117003240208,16331.265837023726,16331.265837531164,16331.265836801385,16331.265837535666,16331.265837534393,16331.265837405128,16331.265837539137,16331.265837539138
