,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
0,54195.88918,68519.42911,69801.06265,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.01,56062.34627,68447.05602,69808.21743,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.02,60076.87349,68415.84028,69808.21743,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.03,62272.77852,68953.11699,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.04,64171.60323,69458.6258,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.05,63280.39833,69458.6258,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.06,64517.29197,69458.6258,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.07,65373.0557,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.08,66325.7287,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
0.09,68553.385,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484,69843.57484
