交易间隔,资产平均值
10,3123.379849172038
20,6044.34523168245
30,5162.117035441111
40,7725.639397135334
50,6977.908318451194
60,6499.731687015692
70,13404.788008127362
80,7584.338797899682
90,8050.050211983229
100,8867.220363336977
