,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0,64635.30929,64513.78001,64392.4198,64271.22858,64150.20623,64029.35266,63908.66777,63788.15146,63667.5422,63547.62417
0.1,63928.19745,63808.52363,63689.16402,63569.23233,63450.07471,63331.17956,63212.26314,63093.60302,62975.10217,62856.70206
0.2,63235.9976,63118.66847,63000.5078,62882.98748,62765.63108,62648.43851,62531.40967,62414.47837,62297.84278,62181.30453
0.3,62559.83854,62443.16062,62327.38464,62211.53054,62096.05363,61980.63033,61865.30038,61750.26762,61635.14297,61520.44568
0.4,61897.11873,61782.85615,61668.8338,61554.63695,61440.79134,61327.27706,61213.60986,61100.36769,60987.15126,60874.09354
0.5,61249.49377,61136.68523,61024.39376,60912.07928,60799.92168,60687.68874,60575.88202,60464.21504,60352.85835,60241.48381
0.6,60615.28079,60504.33061,60393.53366,60282.96788,60172.4682,60061.92347,59951.75811,59841.89613,59732.01411,59622.28629
0.7,59994.43519,59885.27743,59776.00922,59666.98832,59558.18796,59449.46298,59340.68194,59232.46974,59123.93937,59016.08485
0.8,59386.64,59278.91092,59171.33097,59063.96588,58956.6764,58849.52145,58742.54798,58635.50873,58529.01969,58422.32655
0.9,58791.37509,58685.19517,58579.16362,58473.00787,58367.32745,58261.66918,58156.30048,58051.2284,57945.84882,57841.08984
